Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,01/03/2026 - 31/03/2026
Generados,26/03/2026 11:02:39 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA
9351619052,12/3/2026,"MXN$ 2,677.86",18/3/2026,"MXN$ 2,643.69",(MXN$ 29.46),(MXN$ 4.71)
9351619052,12/3/2026,MXN$ 848.63,18/3/2026,MXN$ 837.81,(MXN$ 9.33),(MXN$ 1.49)
9351619078,12/3/2026,MXN$ 500.00,18/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351619102,12/3/2026,"MXN$ 2,172.78",18/3/2026,"MXN$ 2,145.06",(MXN$ 23.90),(MXN$ 3.82)
9351619110,12/3/2026,"MXN$ 5,989.88",18/3/2026,"MXN$ 5,913.45",(MXN$ 65.89),(MXN$ 10.54)
9351619110,12/3/2026,"MXN$ 5,720.47",18/3/2026,"MXN$ 5,647.47",(MXN$ 62.93),(MXN$ 10.07)
9351619169,12/3/2026,MXN$ 300.00,18/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9351619227,12/3/2026,"MXN$ 1,049.50",18/3/2026,"MXN$ 1,036.11",(MXN$ 11.54),(MXN$ 1.85)
9351619250,12/3/2026,MXN$ 620.23,18/3/2026,MXN$ 612.32,(MXN$ 6.82),(MXN$ 1.09)
9351621314,12/3/2026,MXN$ 958.35,18/3/2026,MXN$ 946.12,(MXN$ 10.54),(MXN$ 1.69)
9351621322,12/3/2026,MXN$ 300.00,18/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9353699482,13/3/2026,MXN$ 400.00,18/3/2026,MXN$ 394.90,(MXN$ 4.40),(MXN$ 0.70)
9353699482,14/3/2026,"MXN$ 3,979.56",18/3/2026,"MXN$ 3,928.78",(MXN$ 43.78),(MXN$ 7.00)
9353699482,15/3/2026,MXN$ 500.00,18/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9359716272,12/3/2026,"MXN$ 60,623.85",18/3/2026,"MXN$ 59,850.29",(MXN$ 666.86),(MXN$ 106.70)
7460282536,11/3/2026,"MXN$ 4,196.79",17/3/2026,"MXN$ 4,143.24",(MXN$ 46.16),(MXN$ 7.39)
7460297294,11/3/2026,"MXN$ 6,068.27",17/3/2026,"MXN$ 5,990.84",(MXN$ 66.75),(MXN$ 10.68)
7460297294,11/3/2026,"MXN$ 2,579.73",17/3/2026,"MXN$ 2,546.81",(MXN$ 28.38),(MXN$ 4.54)
8130229545,11/3/2026,"MXN$ 2,574.62",17/3/2026,"MXN$ 2,541.77",(MXN$ 28.32),(MXN$ 4.53)
8130229545,11/3/2026,MXN$ 800.00,17/3/2026,MXN$ 789.79,(MXN$ 8.80),(MXN$ 1.41)
8267599470,11/3/2026,"MXN$ 1,024.61",17/3/2026,"MXN$ 1,011.54",(MXN$ 11.27),(MXN$ 1.80)
8267599470,11/3/2026,MXN$ 150.00,17/3/2026,MXN$ 148.09,(MXN$ 1.65),(MXN$ 0.26)
8483272829,11/3/2026,"MXN$ 1,196.05",17/3/2026,"MXN$ 1,180.78",(MXN$ 13.16),(MXN$ 2.11)
8488519166,11/3/2026,"MXN$ 1,692.48",17/3/2026,"MXN$ 1,670.88",(MXN$ 18.62),(MXN$ 2.98)
8881106140,11/3/2026,MXN$ 500.00,17/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9350041845,11/3/2026,"MXN$ 3,826.30",17/3/2026,"MXN$ 3,777.48",(MXN$ 42.09),(MXN$ 6.73)
9350962107,11/3/2026,"MXN$ 8,594.09",17/3/2026,"MXN$ 8,484.43",(MXN$ 94.53),(MXN$ 15.13)
9350962107,11/3/2026,"MXN$ 2,692.09",17/3/2026,"MXN$ 2,657.74",(MXN$ 29.61),(MXN$ 4.74)
9351619052,11/3/2026,"MXN$ 3,212.72",17/3/2026,"MXN$ 3,171.73",(MXN$ 35.34),(MXN$ 5.65)
9351619102,11/3/2026,"MXN$ 1,448.75",17/3/2026,"MXN$ 1,430.26",(MXN$ 15.94),(MXN$ 2.55)
9351619110,11/3/2026,MXN$ 843.84,17/3/2026,MXN$ 833.07,(MXN$ 9.28),(MXN$ 1.49)
9351619110,11/3/2026,"MXN$ 1,403.92",17/3/2026,"MXN$ 1,386.01",(MXN$ 15.44),(MXN$ 2.47)
9351619169,11/3/2026,MXN$ 700.00,17/3/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23)
9351619227,11/3/2026,MXN$ 569.70,17/3/2026,MXN$ 562.43,(MXN$ 6.27),(MXN$ 1.00)
7460282536,10/3/2026,"MXN$ 2,879.76",13/3/2026,"MXN$ 2,843.01",(MXN$ 31.68),(MXN$ 5.07)
7460297294,10/3/2026,"MXN$ 4,305.51",13/3/2026,"MXN$ 4,250.57",(MXN$ 47.36),(MXN$ 7.58)
7460297294,10/3/2026,MXN$ 831.58,13/3/2026,MXN$ 820.97,(MXN$ 9.15),(MXN$ 1.46)
8130229545,10/3/2026,MXN$ 455.57,13/3/2026,MXN$ 449.76,(MXN$ 5.01),(MXN$ 0.80)
8483272829,10/3/2026,"MXN$ 1,747.94",13/3/2026,"MXN$ 1,725.63",(MXN$ 19.23),(MXN$ 3.08)
9350962107,10/3/2026,"MXN$ 8,002.80",13/3/2026,"MXN$ 7,900.69",(MXN$ 88.03),(MXN$ 14.08)
9351619052,10/3/2026,"MXN$ 3,017.85",13/3/2026,"MXN$ 2,979.34",(MXN$ 33.20),(MXN$ 5.31)
9351619078,10/3/2026,MXN$ 477.14,13/3/2026,MXN$ 471.05,(MXN$ 5.25),(MXN$ 0.84)
9351619102,10/3/2026,"MXN$ 1,281.26",13/3/2026,"MXN$ 1,264.91",(MXN$ 14.09),(MXN$ 2.26)
9351619110,10/3/2026,"MXN$ 7,875.33",13/3/2026,"MXN$ 7,774.84",(MXN$ 86.63),(MXN$ 13.86)
9351619110,10/3/2026,MXN$ 678.61,13/3/2026,MXN$ 669.96,(MXN$ 7.46),(MXN$ 1.19)
9351619169,10/3/2026,MXN$ 300.00,13/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9351619185,10/3/2026,MXN$ 989.23,13/3/2026,MXN$ 976.61,(MXN$ 10.88),(MXN$ 1.74)
9351619250,10/3/2026,MXN$ 500.00,13/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351621314,10/3/2026,"MXN$ 1,350.00",13/3/2026,"MXN$ 1,332.77",(MXN$ 14.85),(MXN$ 2.38)
9351621322,10/3/2026,MXN$ 379.80,13/3/2026,MXN$ 374.95,(MXN$ 4.18),(MXN$ 0.67)
9359716272,11/3/2026,"MXN$ 4,402,298.23",13/3/2026,"MXN$ 4,346,124.91","(MXN$ 48,425.28)","(MXN$ 7,748.04)"
7160841268,9/3/2026,"MXN$ 1,200.32",12/3/2026,"MXN$ 1,185.01",(MXN$ 13.20),(MXN$ 2.11)
7460282536,9/3/2026,"MXN$ 5,066.05",12/3/2026,"MXN$ 5,001.40",(MXN$ 55.73),(MXN$ 8.92)
7460297294,9/3/2026,"MXN$ 3,371.99",12/3/2026,"MXN$ 3,328.97",(MXN$ 37.09),(MXN$ 5.93)
8130229545,9/3/2026,"MXN$ 2,429.70",12/3/2026,"MXN$ 2,398.69",(MXN$ 26.73),(MXN$ 4.28)
8265241414,9/3/2026,"MXN$ 1,043.54",12/3/2026,"MXN$ 1,030.22",(MXN$ 11.48),(MXN$ 1.84)
8265241414,9/3/2026,MXN$ 500.00,12/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
8267599470,9/3/2026,MXN$ 506.10,12/3/2026,MXN$ 499.64,(MXN$ 5.57),(MXN$ 0.89)
8267599470,9/3/2026,MXN$ 500.00,12/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
8483272829,9/3/2026,"MXN$ 1,532.62",12/3/2026,"MXN$ 1,513.06",(MXN$ 16.86),(MXN$ 2.70)
8483272829,9/3/2026,"MXN$ 1,562.06",12/3/2026,"MXN$ 1,542.13",(MXN$ 17.18),(MXN$ 2.75)
8488519166,9/3/2026,"MXN$ 1,747.27",12/3/2026,"MXN$ 1,724.97",(MXN$ 19.22),(MXN$ 3.08)
8488519166,9/3/2026,MXN$ 183.66,12/3/2026,MXN$ 181.32,(MXN$ 2.02),(MXN$ 0.32)
9350041845,9/3/2026,"MXN$ 4,791.48",12/3/2026,"MXN$ 4,730.34",(MXN$ 52.71),(MXN$ 8.43)
9350962107,9/3/2026,"MXN$ 5,091.45",12/3/2026,"MXN$ 5,026.48",(MXN$ 56.01),(MXN$ 8.96)
9350962107,9/3/2026,"MXN$ 1,157.43",12/3/2026,"MXN$ 1,142.66",(MXN$ 12.73),(MXN$ 2.04)
9351619052,9/3/2026,MXN$ 997.88,12/3/2026,MXN$ 985.14,(MXN$ 10.98),(MXN$ 1.76)
9351619102,9/3/2026,MXN$ 300.00,12/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9351619102,9/3/2026,"MXN$ 2,000.00",12/3/2026,"MXN$ 1,974.48",(MXN$ 22.00),(MXN$ 3.52)
9351619110,9/3/2026,"MXN$ 2,936.90",12/3/2026,"MXN$ 2,899.42",(MXN$ 32.31),(MXN$ 5.17)
9351619110,9/3/2026,"MXN$ 2,568.70",12/3/2026,"MXN$ 2,535.92",(MXN$ 28.26),(MXN$ 4.52)
9351619250,9/3/2026,MXN$ 500.00,12/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351619250,9/3/2026,"MXN$ 1,049.50",12/3/2026,"MXN$ 1,036.11",(MXN$ 11.54),(MXN$ 1.85)
9351619284,9/3/2026,"MXN$ 1,000.00",12/3/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76)
7160841268,7/3/2026,MXN$ 982.06,11/3/2026,MXN$ 969.53,(MXN$ 10.80),(MXN$ 1.73)
7160841268,8/3/2026,"MXN$ 1,184.45",11/3/2026,"MXN$ 1,169.34",(MXN$ 13.03),(MXN$ 2.08)
7460282536,6/3/2026,"MXN$ 2,460.47",11/3/2026,"MXN$ 2,429.07",(MXN$ 27.07),(MXN$ 4.33)
7460282536,6/3/2026,"MXN$ 1,871.61",11/3/2026,"MXN$ 1,847.73",(MXN$ 20.59),(MXN$ 3.29)
7460282536,7/3/2026,"MXN$ 2,400.19",11/3/2026,"MXN$ 2,369.57",(MXN$ 26.40),(MXN$ 4.22)
7460282536,8/3/2026,"MXN$ 3,208.44",11/3/2026,"MXN$ 3,167.50",(MXN$ 35.29),(MXN$ 5.65)
7460297294,6/3/2026,"MXN$ 22,682.77",11/3/2026,"MXN$ 22,393.34",(MXN$ 249.51),(MXN$ 39.92)
7460297294,6/3/2026,"MXN$ 8,580.28",11/3/2026,"MXN$ 8,470.80",(MXN$ 94.38),(MXN$ 15.10)
7460297294,7/3/2026,"MXN$ 21,107.46",11/3/2026,"MXN$ 20,838.13",(MXN$ 232.18),(MXN$ 37.15)
7460297294,8/3/2026,"MXN$ 13,246.54",11/3/2026,"MXN$ 13,077.52",(MXN$ 145.71),(MXN$ 23.31)
7460297294,8/3/2026,MXN$ 875.06,11/3/2026,MXN$ 863.89,(MXN$ 9.63),(MXN$ 1.54)
8130229545,6/3/2026,"MXN$ 4,114.92",11/3/2026,"MXN$ 4,062.42",(MXN$ 45.26),(MXN$ 7.24)
8130229545,6/3/2026,MXN$ 831.97,11/3/2026,MXN$ 821.36,(MXN$ 9.15),(MXN$ 1.46)
8130229545,8/3/2026,MXN$ 700.00,11/3/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23)
8265241414,6/3/2026,"MXN$ 1,600.08",11/3/2026,"MXN$ 1,579.66",(MXN$ 17.60),(MXN$ 2.82)
8265241414,7/3/2026,MXN$ 500.00,11/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
8265241414,8/3/2026,MXN$ 702.00,11/3/2026,MXN$ 693.04,(MXN$ 7.72),(MXN$ 1.24)
8267599470,6/3/2026,MXN$ 606.48,11/3/2026,MXN$ 598.74,(MXN$ 6.67),(MXN$ 1.07)
8267599470,7/3/2026,MXN$ 760.14,11/3/2026,MXN$ 750.44,(MXN$ 8.36),(MXN$ 1.34)
8267599470,8/3/2026,"MXN$ 2,235.42",11/3/2026,"MXN$ 2,206.90",(MXN$ 24.59),(MXN$ 3.93)
8483272829,6/3/2026,"MXN$ 4,162.45",11/3/2026,"MXN$ 4,109.33",(MXN$ 45.79),(MXN$ 7.33)
8483272829,7/3/2026,"MXN$ 1,879.80",11/3/2026,"MXN$ 1,855.81",(MXN$ 20.68),(MXN$ 3.31)
8483272829,8/3/2026,MXN$ 955.76,11/3/2026,MXN$ 943.57,(MXN$ 10.51),(MXN$ 1.68)
8483272829,8/3/2026,MXN$ 647.94,11/3/2026,MXN$ 639.67,(MXN$ 7.13),(MXN$ 1.14)
8488519166,6/3/2026,"MXN$ 2,074.79",11/3/2026,"MXN$ 2,048.32",(MXN$ 22.82),(MXN$ 3.65)
8488519166,7/3/2026,"MXN$ 1,724.42",11/3/2026,"MXN$ 1,702.42",(MXN$ 18.97),(MXN$ 3.03)
8488519166,8/3/2026,"MXN$ 1,800.04",11/3/2026,"MXN$ 1,777.07",(MXN$ 19.80),(MXN$ 3.17)
8881106140,7/3/2026,MXN$ 900.03,11/3/2026,MXN$ 888.55,(MXN$ 9.90),(MXN$ 1.58)
9350041845,6/3/2026,"MXN$ 4,032.91",11/3/2026,"MXN$ 3,981.45",(MXN$ 44.36),(MXN$ 7.10)
9350041845,7/3/2026,MXN$ 300.00,11/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9350041845,8/3/2026,"MXN$ 1,844.45",11/3/2026,"MXN$ 1,820.91",(MXN$ 20.29),(MXN$ 3.25)
9350041845,7/3/2026,"MXN$ 2,728.49",11/3/2026,"MXN$ 2,693.68",(MXN$ 30.01),(MXN$ 4.80)
9350041845,8/3/2026,MXN$ 500.00,11/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9350962107,6/3/2026,"MXN$ 11,090.83",11/3/2026,"MXN$ 10,949.31",(MXN$ 122.00),(MXN$ 19.52)
9350962107,6/3/2026,"MXN$ 3,733.53",11/3/2026,"MXN$ 3,685.89",(MXN$ 41.07),(MXN$ 6.57)
9350962107,7/3/2026,"MXN$ 3,505.80",11/3/2026,"MXN$ 3,461.07",(MXN$ 38.56),(MXN$ 6.17)
9350962107,7/3/2026,"MXN$ 2,480.78",11/3/2026,"MXN$ 2,449.12",(MXN$ 27.29),(MXN$ 4.37)
9350962107,8/3/2026,"MXN$ 3,218.26",11/3/2026,"MXN$ 3,177.20",(MXN$ 35.40),(MXN$ 5.66)
9350962107,8/3/2026,"MXN$ 2,574.44",11/3/2026,"MXN$ 2,541.59",(MXN$ 28.32),(MXN$ 4.53)
9351619052,6/3/2026,"MXN$ 2,152.00",11/3/2026,"MXN$ 2,124.54",(MXN$ 23.67),(MXN$ 3.79)
9351619052,6/3/2026,"MXN$ 1,837.19",11/3/2026,"MXN$ 1,813.75",(MXN$ 20.21),(MXN$ 3.23)
9351619052,7/3/2026,MXN$ 936.43,11/3/2026,MXN$ 924.48,(MXN$ 10.30),(MXN$ 1.65)
9351619052,7/3/2026,"MXN$ 1,100.57",11/3/2026,"MXN$ 1,086.52",(MXN$ 12.11),(MXN$ 1.94)
9351619052,8/3/2026,"MXN$ 1,385.29",11/3/2026,"MXN$ 1,367.61",(MXN$ 15.24),(MXN$ 2.44)
9351619052,8/3/2026,"MXN$ 1,070.25",11/3/2026,"MXN$ 1,056.60",(MXN$ 11.77),(MXN$ 1.88)
9351619060,6/3/2026,MXN$ 200.00,11/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351619060,7/3/2026,MXN$ 500.00,11/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351619060,8/3/2026,"MXN$ 1,000.00",11/3/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76)
9351619078,6/3/2026,"MXN$ 2,492.69",11/3/2026,"MXN$ 2,460.88",(MXN$ 27.42),(MXN$ 4.39)
9351619078,7/3/2026,MXN$ 569.70,11/3/2026,MXN$ 562.43,(MXN$ 6.27),(MXN$ 1.00)
9351619086,6/3/2026,MXN$ 350.35,11/3/2026,MXN$ 345.88,(MXN$ 3.85),(MXN$ 0.62)
9351619086,8/3/2026,MXN$ 765.07,11/3/2026,MXN$ 755.30,(MXN$ 8.42),(MXN$ 1.35)
9351619102,6/3/2026,MXN$ 400.00,11/3/2026,MXN$ 394.90,(MXN$ 4.40),(MXN$ 0.70)
9351619102,7/3/2026,MXN$ 664.65,11/3/2026,MXN$ 656.17,(MXN$ 7.31),(MXN$ 1.17)
9351619102,8/3/2026,MXN$ 200.00,11/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351619110,6/3/2026,"MXN$ 2,636.78",11/3/2026,"MXN$ 2,603.14",(MXN$ 29.00),(MXN$ 4.64)
9351619110,7/3/2026,"MXN$ 4,703.16",11/3/2026,"MXN$ 4,643.15",(MXN$ 51.73),(MXN$ 8.28)
9351619110,8/3/2026,"MXN$ 4,019.01",11/3/2026,"MXN$ 3,967.73",(MXN$ 44.21),(MXN$ 7.07)
9351619169,6/3/2026,MXN$ 664.65,11/3/2026,MXN$ 656.17,(MXN$ 7.31),(MXN$ 1.17)
9351619169,8/3/2026,MXN$ 700.00,11/3/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23)
9351619185,6/3/2026,MXN$ 755.42,11/3/2026,MXN$ 745.78,(MXN$ 8.31),(MXN$ 1.33)
9351619185,6/3/2026,MXN$ 200.00,11/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351619185,8/3/2026,MXN$ 250.00,11/3/2026,MXN$ 246.81,(MXN$ 2.75),(MXN$ 0.44)
9351619185,7/3/2026,MXN$ 797.31,11/3/2026,MXN$ 787.14,(MXN$ 8.77),(MXN$ 1.40)
9351619227,6/3/2026,"MXN$ 1,234.35",11/3/2026,"MXN$ 1,218.60",(MXN$ 13.58),(MXN$ 2.17)
9351619227,8/3/2026,"MXN$ 1,891.41",11/3/2026,"MXN$ 1,867.27",(MXN$ 20.81),(MXN$ 3.33)
9351619227,7/3/2026,"MXN$ 1,183.19",11/3/2026,"MXN$ 1,168.09",(MXN$ 13.02),(MXN$ 2.08)
9351619284,6/3/2026,MXN$ 252.95,11/3/2026,MXN$ 249.72,(MXN$ 2.78),(MXN$ 0.45)
9351619284,8/3/2026,MXN$ 500.00,11/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351621314,6/3/2026,"MXN$ 2,339.60",11/3/2026,"MXN$ 2,309.74",(MXN$ 25.74),(MXN$ 4.12)
9351621314,7/3/2026,MXN$ 200.00,11/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351621314,6/3/2026,MXN$ 869.70,11/3/2026,MXN$ 858.60,(MXN$ 9.57),(MXN$ 1.53)
9351621314,8/3/2026,MXN$ 959.68,11/3/2026,MXN$ 947.43,(MXN$ 10.56),(MXN$ 1.69)
9351621314,8/3/2026,MXN$ 664.65,11/3/2026,MXN$ 656.17,(MXN$ 7.31),(MXN$ 1.17)
9351621322,6/3/2026,MXN$ 379.80,11/3/2026,MXN$ 374.95,(MXN$ 4.18),(MXN$ 0.67)
9351621322,7/3/2026,MXN$ 200.00,11/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351621322,8/3/2026,MXN$ 500.00,11/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9353699482,9/3/2026,MXN$ 967.59,11/3/2026,MXN$ 955.25,(MXN$ 10.64),(MXN$ 1.70)
7160841268,5/3/2026,"MXN$ 1,544.43",10/3/2026,"MXN$ 1,524.72",(MXN$ 16.99),(MXN$ 2.72)
7460282536,5/3/2026,"MXN$ 2,909.04",10/3/2026,"MXN$ 2,871.92",(MXN$ 32.00),(MXN$ 5.12)
7460282536,5/3/2026,"MXN$ 1,024.25",10/3/2026,"MXN$ 1,011.18",(MXN$ 11.27),(MXN$ 1.80)
7460297294,5/3/2026,"MXN$ 7,139.19",10/3/2026,"MXN$ 7,048.10",(MXN$ 78.53),(MXN$ 12.56)
7460297294,5/3/2026,"MXN$ 1,251.62",10/3/2026,"MXN$ 1,235.65",(MXN$ 13.77),(MXN$ 2.20)
8267599470,5/3/2026,MXN$ 759.52,10/3/2026,MXN$ 749.83,(MXN$ 8.35),(MXN$ 1.34)
8267599470,5/3/2026,MXN$ 900.51,10/3/2026,MXN$ 889.02,(MXN$ 9.91),(MXN$ 1.58)
8483272829,5/3/2026,"MXN$ 2,115.99",10/3/2026,"MXN$ 2,088.99",(MXN$ 23.28),(MXN$ 3.72)
8483272829,5/3/2026,MXN$ 500.00,10/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9350041845,5/3/2026,"MXN$ 2,544.01",10/3/2026,"MXN$ 2,511.55",(MXN$ 27.98),(MXN$ 4.48)
9350962107,5/3/2026,"MXN$ 6,834.53",10/3/2026,"MXN$ 6,747.32",(MXN$ 75.18),(MXN$ 12.03)
9350962107,5/3/2026,"MXN$ 4,681.59",10/3/2026,"MXN$ 4,621.85",(MXN$ 51.50),(MXN$ 8.24)
9351619052,5/3/2026,"MXN$ 3,296.52",10/3/2026,"MXN$ 3,254.46",(MXN$ 36.26),(MXN$ 5.80)
9351619052,5/3/2026,MXN$ 200.00,10/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351619078,5/3/2026,MXN$ 379.80,10/3/2026,MXN$ 374.95,(MXN$ 4.18),(MXN$ 0.67)
9351619102,5/3/2026,MXN$ 569.70,10/3/2026,MXN$ 562.43,(MXN$ 6.27),(MXN$ 1.00)
9351619110,5/3/2026,"MXN$ 5,070.99",10/3/2026,"MXN$ 5,006.29",(MXN$ 55.78),(MXN$ 8.92)
9351619185,5/3/2026,"MXN$ 1,811.37",10/3/2026,"MXN$ 1,788.25",(MXN$ 19.93),(MXN$ 3.19)
9351619227,5/3/2026,MXN$ 357.39,10/3/2026,MXN$ 352.83,(MXN$ 3.93),(MXN$ 0.63)
9351619250,5/3/2026,MXN$ 851.02,10/3/2026,MXN$ 840.16,(MXN$ 9.36),(MXN$ 1.50)
9351621314,5/3/2026,MXN$ 569.70,10/3/2026,MXN$ 562.43,(MXN$ 6.27),(MXN$ 1.00)
9351621322,5/3/2026,MXN$ 379.80,10/3/2026,MXN$ 374.95,(MXN$ 4.18),(MXN$ 0.67)
9353699482,6/3/2026,"MXN$ 2,358.58",10/3/2026,"MXN$ 2,328.49",(MXN$ 25.94),(MXN$ 4.15)
9353699482,7/3/2026,"MXN$ 1,493.92",10/3/2026,"MXN$ 1,474.86",(MXN$ 16.43),(MXN$ 2.63)
9353699482,8/3/2026,"MXN$ 2,108.78",10/3/2026,"MXN$ 2,081.87",(MXN$ 23.20),(MXN$ 3.71)
9359716272,5/3/2026,"MXN$ 34,748.15",10/3/2026,"MXN$ 34,304.76",(MXN$ 382.23),(MXN$ 61.16)
7160841268,4/3/2026,MXN$ 861.52,9/3/2026,MXN$ 850.52,(MXN$ 9.48),(MXN$ 1.52)
7460282536,4/3/2026,"MXN$ 1,254.02",9/3/2026,"MXN$ 1,238.02",(MXN$ 13.79),(MXN$ 2.21)
7460282536,4/3/2026,MXN$ 707.74,9/3/2026,MXN$ 698.70,(MXN$ 7.79),(MXN$ 1.25)
7460297294,4/3/2026,"MXN$ 12,636.52",9/3/2026,"MXN$ 12,475.28",(MXN$ 139.00),(MXN$ 22.24)
7460297294,4/3/2026,"MXN$ 2,372.82",9/3/2026,"MXN$ 2,342.54",(MXN$ 26.10),(MXN$ 4.18)
8267599470,4/3/2026,"MXN$ 1,291.57",9/3/2026,"MXN$ 1,275.09",(MXN$ 14.21),(MXN$ 2.27)
8483272829,4/3/2026,MXN$ 800.00,9/3/2026,MXN$ 789.79,(MXN$ 8.80),(MXN$ 1.41)
8488519166,4/3/2026,"MXN$ 2,487.13",9/3/2026,"MXN$ 2,455.39",(MXN$ 27.36),(MXN$ 4.38)
8488519166,4/3/2026,"MXN$ 11,008.39",9/3/2026,"MXN$ 10,867.93",(MXN$ 121.09),(MXN$ 19.37)
8881106140,5/3/2026,MXN$ 200.00,9/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9350041845,4/3/2026,"MXN$ 1,473.41",9/3/2026,"MXN$ 1,454.61",(MXN$ 16.21),(MXN$ 2.59)
9350962107,4/3/2026,"MXN$ 7,690.70",9/3/2026,"MXN$ 7,592.56",(MXN$ 84.60),(MXN$ 13.54)
9350962107,4/3/2026,MXN$ 250.00,9/3/2026,MXN$ 246.81,(MXN$ 2.75),(MXN$ 0.44)
9351619052,4/3/2026,"MXN$ 3,714.20",9/3/2026,"MXN$ 3,666.80",(MXN$ 40.86),(MXN$ 6.54)
9351619052,4/3/2026,MXN$ 500.00,9/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9351619086,4/3/2026,"MXN$ 1,139.40",9/3/2026,"MXN$ 1,124.86",(MXN$ 12.53),(MXN$ 2.01)
9351619102,4/3/2026,"MXN$ 2,988.87",9/3/2026,"MXN$ 2,950.73",(MXN$ 32.88),(MXN$ 5.26)
9351619102,4/3/2026,MXN$ 750.06,9/3/2026,MXN$ 740.49,(MXN$ 8.25),(MXN$ 1.32)
9351619110,4/3/2026,"MXN$ 4,574.00",9/3/2026,"MXN$ 4,515.64",(MXN$ 50.31),(MXN$ 8.05)
9351619110,4/3/2026,"MXN$ 2,594.27",9/3/2026,"MXN$ 2,561.16",(MXN$ 28.54),(MXN$ 4.57)
9351619185,4/3/2026,"MXN$ 1,133.84",9/3/2026,"MXN$ 1,119.37",(MXN$ 12.47),(MXN$ 2.00)
9351621314,4/3/2026,MXN$ 200.00,9/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351621322,4/3/2026,"MXN$ 1,536.82",9/3/2026,"MXN$ 1,517.21",(MXN$ 16.91),(MXN$ 2.70)
9353699482,5/3/2026,"MXN$ 2,338.77",9/3/2026,"MXN$ 2,308.92",(MXN$ 25.73),(MXN$ 4.12)
7460282536,3/3/2026,"MXN$ 6,176.99",6/3/2026,"MXN$ 6,098.17",(MXN$ 67.95),(MXN$ 10.87)
7460282536,3/3/2026,"MXN$ 1,435.97",6/3/2026,"MXN$ 1,417.64",(MXN$ 15.80),(MXN$ 2.53)
7460297294,3/3/2026,"MXN$ 5,673.32",6/3/2026,"MXN$ 5,600.92",(MXN$ 62.41),(MXN$ 9.99)
7460297294,3/3/2026,"MXN$ 4,679.83",6/3/2026,"MXN$ 4,620.11",(MXN$ 51.48),(MXN$ 8.24)
8130229545,3/3/2026,"MXN$ 1,070.16",6/3/2026,"MXN$ 1,056.51",(MXN$ 11.77),(MXN$ 1.88)
8265241414,3/3/2026,MXN$ 200.00,6/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
8267599470,3/3/2026,MXN$ 999.85,6/3/2026,MXN$ 987.09,(MXN$ 11.00),(MXN$ 1.76)
8483272829,3/3/2026,"MXN$ 2,298.70",6/3/2026,"MXN$ 2,269.36",(MXN$ 25.29),(MXN$ 4.05)
8483272829,3/3/2026,"MXN$ 1,361.69",6/3/2026,"MXN$ 1,344.31",(MXN$ 14.98),(MXN$ 2.40)
