Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,01/04/2026 - 25/04/2026
Generados,15/04/2026 11:47:50 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA,Número de factura del monto del resumen de los cargos
9351621314,2/4/2026,"MXN$ 1,432.82",8/4/2026,"MXN$ 1,414.54",(MXN$ 15.76),(MXN$ 2.52),935162131460402
9351621314,5/4/2026,MXN$ 900.00,8/4/2026,MXN$ 888.52,(MXN$ 9.90),(MXN$ 1.58),935162131460405
9351621322,1/4/2026,MXN$ 300.00,8/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),935162132260401
9351621322,2/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162132260403
9351621322,4/4/2026,MXN$ 688.40,8/4/2026,MXN$ 679.62,(MXN$ 7.57),(MXN$ 1.21),935162132260404
9351621322,5/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162132260406
9353699482,6/4/2026,MXN$ 865.27,8/4/2026,MXN$ 854.23,(MXN$ 9.52),(MXN$ 1.52),935369948260406
9359716272,1/4/2026,"MXN$ 43,052.86",8/4/2026,"MXN$ 42,503.51",(MXN$ 473.58),(MXN$ 75.77),000123
9353699482,1/4/2026,"MXN$ 1,225.68",7/4/2026,"MXN$ 1,210.04",(MXN$ 13.48),(MXN$ 2.16),935369948260401
9353699482,1/4/2026,"MXN$ 1,408.71",7/4/2026,"MXN$ 1,390.73",(MXN$ 15.50),(MXN$ 2.48),935369948260402
9353699482,2/4/2026,MXN$ 713.70,7/4/2026,MXN$ 704.59,(MXN$ 7.85),(MXN$ 1.26),935369948260402
9353699482,3/4/2026,MXN$ 250.00,7/4/2026,MXN$ 246.81,(MXN$ 2.75),(MXN$ 0.44),935369948260403
9353699482,4/4/2026,MXN$ 860.06,7/4/2026,MXN$ 849.09,(MXN$ 9.46),(MXN$ 1.51),935369948260405

